"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - mean_absolute_percentage_error","random_no2 - mean_absolute_percentage_error__MIN","random_no2 - mean_absolute_percentage_error__MAX"
"268","24.49500274658203","24.49500274658203","24.49500274658203","","","","30.74954605102539","30.74954605102539","30.74954605102539","","","","30.171478271484375","30.171478271484375","30.171478271484375","","",""
"270","","","","40.15098571777344","40.15098571777344","40.15098571777344","","","","28.036344528198242","28.036344528198242","28.036344528198242","","","","25.6528377532959","25.6528377532959","25.6528377532959"
"273","26.839393615722656","26.839393615722656","26.839393615722656","","","","31.41952133178711","31.41952133178711","31.41952133178711","","","","34.692176818847656","34.692176818847656","34.692176818847656","","",""
"275","","","","40.33823013305664","40.33823013305664","40.33823013305664","","","","28.04512596130371","28.04512596130371","28.04512596130371","","","","25.721403121948242","25.721403121948242","25.721403121948242"
"278","28.207225799560547","28.207225799560547","28.207225799560547","","","","30.41405487060547","30.41405487060547","30.41405487060547","","","","33.64876174926758","33.64876174926758","33.64876174926758","","",""
"280","","","","40.436805725097656","40.436805725097656","40.436805725097656","","","","27.93919563293457","27.93919563293457","27.93919563293457","","","","25.874515533447266","25.874515533447266","25.874515533447266"
"283","25.844926834106445","25.844926834106445","25.844926834106445","","","","29.68463897705078","29.68463897705078","29.68463897705078","","","","34.037010192871094","34.037010192871094","34.037010192871094","","",""
"285","","","","40.416194915771484","40.416194915771484","40.416194915771484","","","","27.984041213989258","27.984041213989258","27.984041213989258","","","","25.739166259765625","25.739166259765625","25.739166259765625"
"288","26.123247146606445","26.123247146606445","26.123247146606445","","","","33.90217590332031","33.90217590332031","33.90217590332031","","","","37.13029098510742","37.13029098510742","37.13029098510742","","",""
"290","","","","41.117591857910156","41.117591857910156","41.117591857910156","","","","28.00655174255371","28.00655174255371","28.00655174255371","","","","25.749557495117188","25.749557495117188","25.749557495117188"
"293","26.16368865966797","26.16368865966797","26.16368865966797","","","","29.32463836669922","29.32463836669922","29.32463836669922","","","","29.79512596130371","29.79512596130371","29.79512596130371","","",""
"295","","","","38.40095901489258","38.40095901489258","38.40095901489258","","","","28.124563217163086","28.124563217163086","28.124563217163086","","","","24.404125213623047","24.404125213623047","24.404125213623047"
"298","24.946895599365234","24.946895599365234","24.946895599365234","","","","33.57670593261719","33.57670593261719","33.57670593261719","","","","34.04887390136719","34.04887390136719","34.04887390136719","","",""
"300","","","","38.95234298706055","38.95234298706055","38.95234298706055","","","","28.07528305053711","28.07528305053711","28.07528305053711","","","","24.66893768310547","24.66893768310547","24.66893768310547"
"303","25.682373046875","25.682373046875","25.682373046875","","","","33.82826232910156","33.82826232910156","33.82826232910156","","","","40.4736442565918","40.4736442565918","40.4736442565918","","",""
"305","","","","38.584049224853516","38.584049224853516","38.584049224853516","","","","28.359384536743164","28.359384536743164","28.359384536743164","","","","24.27108383178711","24.27108383178711","24.27108383178711"
"308","26.0013484954834","26.0013484954834","26.0013484954834","","","","29.29132080078125","29.29132080078125","29.29132080078125","","","","34.181819915771484","34.181819915771484","34.181819915771484","","",""
"310","","","","38.114437103271484","38.114437103271484","38.114437103271484","","","","27.935964584350586","27.935964584350586","27.935964584350586","","","","24.547908782958984","24.547908782958984","24.547908782958984"
"313","24.265586853027344","24.265586853027344","24.265586853027344","","","","29.52136993408203","29.52136993408203","29.52136993408203","","","","38.22776412963867","38.22776412963867","38.22776412963867","","",""
"315","","","","38.27927017211914","38.27927017211914","38.27927017211914","","","","27.43634796142578","27.43634796142578","27.43634796142578","","","","24.05628204345703","24.05628204345703","24.05628204345703"
"318","26.12975311279297","26.12975311279297","26.12975311279297","","","","32.84193420410156","32.84193420410156","32.84193420410156","","","","37.499813079833984","37.499813079833984","37.499813079833984","","",""
"320","","","","38.64691162109375","38.64691162109375","38.64691162109375","","","","27.94867515563965","27.94867515563965","27.94867515563965","","","","24.097270965576172","24.097270965576172","24.097270965576172"
"323","26.372007369995117","26.372007369995117","26.372007369995117","","","","28.36200523376465","28.36200523376465","28.36200523376465","","","","38.9538688659668","38.9538688659668","38.9538688659668","","",""
"325","","","","37.99858856201172","37.99858856201172","37.99858856201172","","","","28.212636947631836","28.212636947631836","28.212636947631836","","","","23.859907150268555","23.859907150268555","23.859907150268555"
"328","26.40099334716797","26.40099334716797","26.40099334716797","","","","29.14558219909668","29.14558219909668","29.14558219909668","","","","35.33292007446289","35.33292007446289","35.33292007446289","","",""
"330","","","","38.02005386352539","38.02005386352539","38.02005386352539","","","","27.95352554321289","27.95352554321289","27.95352554321289","","","","23.633039474487305","23.633039474487305","23.633039474487305"
"333","25.223026275634766","25.223026275634766","25.223026275634766","","","","30.95167350769043","30.95167350769043","30.95167350769043","","","","36.77815628051758","36.77815628051758","36.77815628051758","","",""
"335","","","","37.65142059326172","37.65142059326172","37.65142059326172","","","","27.695375442504883","27.695375442504883","27.695375442504883","","","","23.79140853881836","23.79140853881836","23.79140853881836"
"338","25.643943786621094","25.643943786621094","25.643943786621094","","","","32.05147933959961","32.05147933959961","32.05147933959961","","","","27.838069915771484","27.838069915771484","27.838069915771484","","",""
"340","","","","37.67118835449219","37.67118835449219","37.67118835449219","","","","27.400081634521484","27.400081634521484","27.400081634521484","","","","23.94961929321289","23.94961929321289","23.94961929321289"
"343","24.82503318786621","24.82503318786621","24.82503318786621","","","","29.6497802734375","29.6497802734375","29.6497802734375","","","","37.08472442626953","37.08472442626953","37.08472442626953","","",""
"345","","","","37.967506408691406","37.967506408691406","37.967506408691406","","","","27.572731018066406","27.572731018066406","27.572731018066406","","","","23.8581600189209","23.8581600189209","23.8581600189209"
"348","26.34750747680664","26.34750747680664","26.34750747680664","","","","32.62766647338867","32.62766647338867","32.62766647338867","","","","31.759504318237305","31.759504318237305","31.759504318237305","","",""
"350","","","","37.999534606933594","37.999534606933594","37.999534606933594","","","","27.764820098876953","27.764820098876953","27.764820098876953","","","","23.560590744018555","23.560590744018555","23.560590744018555"
"353","24.520061492919922","24.520061492919922","24.520061492919922","","","","30.98735237121582","30.98735237121582","30.98735237121582","","","","34.63188552856445","34.63188552856445","34.63188552856445","","",""
"355","","","","38.49480438232422","38.49480438232422","38.49480438232422","","","","27.325057983398438","27.325057983398438","27.325057983398438","","","","23.75852394104004","23.75852394104004","23.75852394104004"
"358","26.466480255126953","26.466480255126953","26.466480255126953","","","","31.62651252746582","31.62651252746582","31.62651252746582","","","","34.14582061767578","34.14582061767578","34.14582061767578","","",""
